trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-145.67839963121352,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-129.14753502322358,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-92.34837930146963,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-154.76278646556878,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-102.63991536875275,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-127.1756806346626,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-44.37819476929756,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-178.02467178136726,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-119.61098840887804,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,0,-104.93518549473684,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-188.3710065712597,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-120.96058646208716,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-162.58915011296915,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-151.06685951956302,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-100.30211819675444,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-157.3661810890016,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-96.69358549839897,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,1,-118.48715930916484,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-104.95403558186197,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-81.45085256123025,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",30,0,-133.96828087918794,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-100.75774552147553,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-129.56327482368218,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-131.65051800393468,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,15,-2.8907286224581887,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-35.669113892409136,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-79.49777299900772,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,0,-144.37806755729065,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,12,-29.5697878643753,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
